Time,NetEnergy,DiffEnergy
0.115,83.6354,0.012401
0.115,83.6354,1.2945e-06
0.115018,83.7017,0.0662636
0.115018,83.7017,8.63e-07
0.115071,83.9005,0.198795
0.115071,83.9005,8.63e-07
0.115125,84.0993,0.198795
0.115232,84.1455,0.0462322
0.11525,84.1579,0.012401
0.11525,84.1579,1.2945e-06
0.115268,84.2242,0.0662636
0.115268,84.2242,8.63e-07
0.115286,84.2904,0.0662599
0.115286,84.2904,8.63e-07
0.115304,84.3567,0.0662599
0.115304,84.3567,8.63e-07
0.115339,84.4892,0.132527
0.115339,84.4892,8.63e-07
0.115393,84.688,0.198795
0.115393,84.688,8.63e-07
0.115429,84.8205,0.132527
0.115429,84.8205,8.63e-07
0.115464,84.9531,0.132527
0.115482,84.9608,0.00770573
0.1155,84.9732,0.012401
0.1155,84.9732,1.2945e-06
0.115518,85.0394,0.0662636
0.115518,85.0394,8.63e-07
0.115571,85.2382,0.198795
0.115571,85.2382,8.63e-07
0.115625,85.437,0.198795
0.115625,85.437,8.63e-07
0.115679,85.6358,0.198795
0.115732,85.6589,0.0231163
0.11575,85.6713,0.012401
0.11575,85.6714,1.2945e-06
0.115768,85.7376,0.0662636
0.115768,85.7376,8.63e-07
0.115821,85.9364,0.198795
0.115821,85.9364,8.63e-07
0.115875,86.1352,0.198795
0.115875,86.1352,8.63e-07
0.115911,86.2677,0.132527
0.115911,86.2677,8.63e-07
0.115946,86.4003,0.132527
0.115982,86.4157,0.015411
0.116,86.4281,0.012401
0.116,86.4281,1.2945e-06
0.116018,86.4943,0.0662636
0.116018,86.4943,8.63e-07
0.116036,86.5606,0.0662599
0.116232,86.6454,0.0847587
0.11625,86.6578,0.012401
0.11625,86.6578,1.2945e-06
0.116268,86.724,0.0662636
0.116268,86.724,8.63e-07
0.116321,86.9228,0.198795
0.116321,86.9228,8.63e-07
0.116375,87.1216,0.198795
0.116375,87.1216,8.63e-07
0.116411,87.2541,0.132527
0.116411,87.2541,8.63e-07
0.116446,87.3867,0.132527
0.116482,87.4021,0.015411
0.1165,87.4145,0.012401
0.1165,87.4145,1.2945e-06
0.116518,87.4807,0.0662636
0.116518,87.4807,8.63e-07
0.116571,87.6795,0.198795
0.116571,87.6795,8.63e-07
0.116625,87.8783,0.198795
0.116732,87.9246,0.0462322
0.11675,87.937,0.012401
0.11675,87.937,1.2945e-06
0.116768,88.0032,0.0662636
0.116768,88.0032,8.63e-07
0.116786,88.0695,0.0662599
0.116786,88.0695,8.63e-07
0.116804,88.1358,0.0662599
0.116804,88.1358,8.63e-07
0.116839,88.2683,0.132527
0.116839,88.2683,8.63e-07
0.116893,88.4671,0.198795
0.116893,88.4671,8.63e-07
0.116929,88.5996,0.132527
0.116929,88.5996,8.63e-07
0.116964,88.7321,0.132527
0.116982,88.7398,0.00770573
0.117,88.7522,0.012401
0.117,88.7522,1.2945e-06
0.117018,88.8185,0.0662636
0.117018,88.8185,8.63e-07
0.117071,89.0173,0.198795
0.117232,89.0867,0.0693481
0.11725,89.0991,0.012401
0.11725,89.0991,1.2945e-06
0.117268,89.1653,0.0662636
0.117268,89.1653,8.63e-07
0.117321,89.3641,0.198795
0.117321,89.3641,8.63e-07
0.117375,89.5629,0.198795
0.117375,89.5629,8.63e-07
0.117411,89.6954,0.132527
0.117411,89.6954,8.63e-07
0.117446,89.828,0.132527
0.117482,89.8434,0.015411
0.1175,89.8558,0.012401
0.1175,89.8558,1.2945e-06
0.117518,89.922,0.0662636
0.117518,89.922,8.63e-07
0.117536,89.9883,0.0662599
0.117732,90.0731,0.0847587
0.11775,90.0855,0.012401
0.11775,90.0855,1.2945e-06
0.117768,90.1517,0.0662636
0.117768,90.1517,8.63e-07
0.117821,90.3505,0.198795
0.117821,90.3505,8.63e-07
0.117875,90.5493,0.198795
0.117875,90.5493,8.63e-07
0.117911,90.6818,0.132527
0.117911,90.6818,8.63e-07
0.117946,90.8144,0.132527
0.117982,90.8298,0.015411
0.118,90.8422,0.012401
0.118,90.8422,1.2945e-06
0.118018,90.9085,0.0662636
0.118018,90.9085,8.63e-07
0.118071,91.1072,0.198795
0.118071,91.1072,8.63e-07
0.118125,91.306,0.198795
0.118232,91.3523,0.0462322
0.11825,91.3647,0.012401
0.11825,91.3647,1.2945e-06
0.118268,91.4309,0.0662636
0.118268,91.4309,8.63e-07
0.118339,91.696,0.265062
0.118339,91.696,8.63e-07
0.118393,91.8948,0.198795
0.118393,91.8948,8.63e-07
0.118429,92.0273,0.132527
0.118429,92.0273,8.63e-07
0.118464,92.1599,0.132527
0.118482,92.1676,0.00770573
0.1185,92.18,0.012401
0.1185,92.18,1.2945e-06
0.118518,92.2462,0.0662636
0.118518,92.2462,8.63e-07
0.118571,92.445,0.198795
0.118571,92.445,8.63e-07
0.118625,92.6438,0.198795
0.118625,92.6438,8.63e-07
0.118696,92.9089,0.265062
0.118732,92.9243,0.015411
0.11875,92.9367,0.012401
0.11875,92.9367,1.2945e-06
0.118768,93.003,0.0662636
0.118768,93.003,8.63e-07
0.118821,93.2018,0.198795
0.118821,93.2018,8.63e-07
0.118875,93.4005,0.198795
0.118875,93.4005,8.63e-07
0.118911,93.5331,0.132527
0.118911,93.5331,8.63e-07
0.118946,93.6656,0.132527
0.118982,93.681,0.015411
0.119,93.6934,0.012401
0.119,93.6934,1.2945e-06
0.119018,93.7597,0.0662636
0.119018,93.7597,8.63e-07
0.119036,93.8259,0.0662599
0.119232,93.9107,0.0847587
0.11925,93.9231,0.012401
0.11925,93.9231,1.2945e-06
